Gene	SRR3719478	SRR3719504	SRR3719505	SRR3719506	SRR3719510	SRR3719511	SRR3719533	SRR3719534	SRR3719535	SRR3719539	SRR3719541	SRR3719544	SRR3719545	SRR3719562	SRR3719563	SRR3719564	SRR3719565	SRR3719566	SRR3719567	SRR3719568	SRR3719569	SRR3719571	SRR3719572	SRR3719573	SRR3719574	SRR3719625	SRR3719629	SRR3719644	SRR3719645	SRR3719646	SRR3719647	SRR3719653	SRR3719654	SRR3719655	SRR3719656	SRR3719657	SRR3719691	SRR3719692	SRR3719693	SRR3719695	SRR3719696	SRR3719708	SRR3724190	SRR3724307	SRR3724308	SRR3724309	SRR3724310	SRR3724311	SRR3724312	SRR3724315	SRR3724357	SRR3724365	SRR3724366	SRR3724382	SRR3724388	SRR3724456	SRR3724464	SRR3724465	SRR3724466	SRR3724467	SRR3724468	SRR3724469	SRR3724470	SRR3724482	SRR3724508	SRR3724533	SRR3724534	SRR3724641	SRR3724643	SRR3724644	SRR3724645	SRR3724646	SRR3724647	SRR3724648	SRR3725015	SRR3725054	SRR3725353	SRR3725354	SRR3725355	SRR3725726	SRR3725727	SRR3725728	SRR3725729	SRR3725730	SRR3725731
Bin_metabat_SRR3719656.54	0	0	0	0	0	0	8.20208E-05	0	5.66547E-05	7.63165E-05	0	0	0	0	0	0	0	0.00033001	5.27444E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000291687	0	0	0.001074107	0	4.02763E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129445	0	5.12844E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin_metabat_SRR3725727.4	0.01867632	0.010059751	0.012281281	0.021015137	0.025735806	0.023039636	0.014799302	0.007098095	0.021644369	0.000150324	0.020990652	0.014365226	0.015466709	0.010099839	0.013495764	0.004033921	0.011654085	0.000202606	0.014489628	0.016015869	0.019579175	0.006867647	0.004722175	0.002941074	0.000320565	0.017075991	0.017784397	0.019979294	0.005042692	0.004027615	0.001930034	8.09266E-05	0.018421728	0.02554609	0	0.025608324	0.024826139	0.008579493	0.00486262	0.015360701	0.013153231	0.014427448	0	0.02078479	0.009521488	0.028486362	0.019328128	0.01934408	0.019869916	0.007784784	0.016454152	0.015026237	0.02046888	0.011212476	0.000963046	0.013243836	0.013532767	0.017330826	0.016775477	0.01491024	0.009662627	0.011434062	0.022464795	0.007720541	0.012209999	0.033523791	0	0.009157492	0.021061018	0.008819572	0.004775646	0.012657372	0.025085824	0.01973526	0.018515635	0.04362669	0.040376332	0.011588155	0.011034573	0.028408761	0.023570775	0.016444276	0.019112915	0.004400596	0.007415869
Bin_metabat_SRR3719504.29	0	0.002734565	0.005179222	0	0	7.69161E-05	0	0.003041465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000866884	0.001082168	0	0	0	0	0	0	0.000491077	0	0	0	0	0	0.001386807	0.001753137	0	0	0	0	0.000116486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin_maxbin_SRR3719567.057	0.002313431	0.000127354	0	0.001825503	0.001219289	0.000461128	0.003031199	0	0.001233609	0	0.000357094	0.001539223	0.001179052	7.86883E-05	0.00042384	0	0	0.000424684	0.00349427	0.002469205	0.000840199	0.000153248	4.10777E-05	9.86107E-05	0	0.004100721	0.001964188	0.000308564	6.89811E-05	0	0	0.000403363	0.001916853	0.001265648	0.000313506	0.001499311	0.002137161	7.76138E-05	0	0.000312265	0.000290804	0.000432607	0	0.001024871	0.001018202	0	0	0.000706201	0.000900104	0.001136647	0.000754822	0.000873053	0.000166872	0	0.002162537	0.000412488	0.00376674	0.001971553	0.002678202	0	0	0.0002706	0.001072077	0	0.000206729	0	0.001684698	8.33758E-05	0.000542234	0	6.56603E-05	0	0.001743238	0.001894723	0.002097361	0.002115261	0.002133965	0.000433486	0.0008146	0.002247264	0.000198337	0.000786475	0	0	9.61603E-05
Bin_metabat_SRR3719625.67	0.000612877	6.99392E-05	0	0.002290722	0.000430286	0.000106312	0.001812647	0	0.001225459	0	8.87293E-05	0.003234479	0.002118657	0.000352615	0.000896735	0	4.26906E-05	0.000334126	0.000941701	0.001666848	0.00052174	8.08651E-05	6.78665E-05	7.3646E-05	0	0.003349746	0.000540163	4.46769E-05	4.38058E-05	0	6.71483E-05	0.000497102	0.001116276	0.00067232	0.001174025	0.001021391	0.001331244	6.83658E-05	5.54703E-05	0.000178389	0.000239846	0.000175705	0	0.000722723	0.00490776	0	0	0.005089709	0.004013646	0.004859735	0.003489202	0.001212407	0.000357458	0	0.005236228	0.000431204	0.002355054	0.001026312	0.001229769	0.00013999	8.47839E-05	0.002636174	0.000738436	0.000206883	0	0	0.001723447	0.000174332	0.000994843	0	7.71545E-05	0	0.000446312	0	0	0.000370811	0	0	0	0	0	0.00398121	0	0.000638877	0.000225268
Bin_metabat_SRR3724456.13	0.002852662	0.000523965	0.000160653	0.001816582	0.002215054	0.00041488	0.001010515	8.67897E-05	0.000893447	0	0.000281068	0.002421442	0.001733542	0.000226306	0.000650008	0.000110677	8.68947E-05	0	0.001672588	0.001070532	0.00049171	0.000140092	0.000154162	0.000116904	0	0.002341408	0.000870845	0.000239971	0.000149351	0.00013805	0.00015315	0	0.001185473	0.002033443	0	0.00224084	0.001200618	0.000128341	9.03033E-05	0.000214267	0.000192289	0.000243481	0	0.002346058	0.0015784	0.000355821	0.000217368	0.005259914	0.006828859	0.00311367	0.004008023	0.003184401	0.001401347	0.000253224	0	0.007442076	0.001091444	0.001895884	0.00175717	0	8.86713E-05	0.009436209	0.00199182	0.003967372	0.000551016	0	0	0.000940788	0.002545856	0.000596267	0.000561644	0.000280102	0.004746211	0.00501912	0.003778153	0.010273915	0.005637922	0.00047588	0.000298268	0.00322089	0.000523528	0.004536481	0.000201965	0.000464846	0.000353713
Bin_metabat_SRR3724533.16	0	7.31788E-05	0.000146154	0	0	0	0	0.000117857	0	0	0	0	0	0	0	0	9.40645E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37016E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05978E-05	0	0	0	0	0	0	0	0	0.000134224	0	0	0	0.000162179	0.000130223	0	0	0.000430772	0.001312736	0.008097756	0	0.000594118	0.000126049	0.004048553	0.001136631	0.008094555	0.000136903	0.000334011	0.000817356	0.000132575	0.00038059	0.001058057	0.00076686	0.000636296	0.002350972	0	0.001562647	0.000204554	0.000744494
Bin_maxbin_SRR3719534.038	0.00010603	0.00219494	0.003869488	0	0.00023293	0.00045194	0	0.003046503	0.000109096	0	0.00092477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001101	0.00018369	0	0.000130041	0	0	0	0	0	0	0	0.000427144	0	0.001309529	0.000915256	0	0	0	0	0.000166036	0.000327149	0.001442031	0	0.00042554	0.000236687	0.000418255	0.000387345	0.003822947	0.002539324	0.000186484	0.000500835	0.000798782	0.002166074	0.011447872	0	0.000836166	0.000215234	0.005831471	0.001604587	0.009830239	0.000149434	0.000322912	0.000569429	0.000165068	0.000452612	0.001442292	0.000577587	0.000828978	0.001513537	9.87595E-05	0.001162454	0.000222766	0.000394315
Bin_maxbin_SRR3724533.011	0.00096772	0.006059392	0.007631653	0.000259036	0.001239551	0.002798435	0.000224338	0.006818009	0.000737808	0	0.003587294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000579596	0.001137933	0	0.000816989	0	0	0	0	0	0	0	0.002915588	0	0.004750707	0.003928212	0.000183188	0.000481082	0.00026561	0.000421666	0.001345489	0.002263033	0.004681761	0	0.001488967	0.00114138	0.002628837	0.002522086	0.010294285	0.008384826	0.000301775	0.003386785	0.002801344	0.004900784	0.018877692	0	0.0028563	0.000619021	0.006042729	0.003408197	0.008552663	0.000405312	0.001313199	0.001473837	0.000309765	0.001063783	0.003322922	0.00150155	0.001652546	0.002025427	0	0.001737207	0.002222114	0.001214148
Bin_metabat_SRR3724309.15	0.002416929	0.005526356	0.006693196	0.000849929	0.003577894	0.006841491	0.001520338	0.008182698	0.005323887	0	0.006742532	0.001068958	0.003281995	0.009371437	0.005948172	0.014719678	0.00620455	9.13851E-05	0.001210538	0.002668591	0.004563828	0.008409147	0.010075615	0.008866837	0.00011036	0.001203774	0.004217136	0.006876828	0.00854736	0.011953083	0.013627631	9.69221E-05	0.001738964	0.003232064	0	0.00291137	0.002657526	0.006423057	0.007965452	0.006646206	0.006870282	0.005582125	0	0.007263095	0.000710891	0.016463225	0.014921322	0.001701205	0.00478667	0.001093877	0.002757765	0.00603168	0.00944863	0.013124264	0	0.002615161	0.001731938	0.003066184	0.002680235	0.010293375	0.009345823	0.000466395	0.005340367	0.00392143	0.004626545	0.002226792	0	0.00643468	0.001477721	0.005336478	0.007107355	0.002360411	0.001101145	0.003077107	0.003318403	0.001070488	0.002806781	0.005994344	0.007960343	0.004836389	0.00481168	0.000709224	0.007706143	0.004102171	0.004406861
