Metagenome	GEQ
SRR3719478	2527.563134
SRR3719504	2101.528263
SRR3719505	2059.019039
SRR3719506	2289.677788
SRR3719510	2723.549795
SRR3719511	2350.825369
SRR3719533	1929.549352
SRR3719534	2807.603201
SRR3719535	2754.170804
SRR3719539	2330.67637
SRR3719541	2523.341306
SRR3719544	2875.879573
SRR3719545	2451.501024
SRR3719562	2956.930183
SRR3719563	2677.493452
SRR3719564	2011.487556
SRR3719565	3201.812945
SRR3719566	2051.747657
SRR3719567	2516.80208
SRR3719568	2518.792427
SRR3719569	2875.264504
SRR3719571	2821.123722
SRR3719572	3518.324867
SRR3719573	3285.385898
SRR3719574	1624.247218
SRR3719625	2988.219329
SRR3719629	3959.189154
SRR3719644	4311.48872
SRR3719645	3317.119645
SRR3719646	2845.460634
SRR3719647	3890.393704
SRR3719653	3750.24994
SRR3719654	3545.998971
SRR3719655	3404.520022
SRR3719656	2757.00428
SRR3719657	3027.823318
SRR3719691	2735.28055
SRR3719692	2772.017089
SRR3719693	2888.685561
SRR3719695	3150.340187
SRR3719696	2886.324887
SRR3719708	2846.430558
SRR3724190	1136.370988
SRR3724307	1212.342387
SRR3724308	2079.244904
SRR3724309	748.3937103
SRR3724310	2045.987037
SRR3724311	2355.238707
SRR3724312	2263.11812
SRR3724315	1128.355882
SRR3724357	2511.281839
SRR3724365	1460.305702
SRR3724366	692.5073968
SRR3724382	1093.270181
SRR3724388	990.9907215
SRR3724456	2107.270407
SRR3724464	1890.072118
SRR3724465	1598.033365
SRR3724466	2495.299183
SRR3724467	890.6041008
SRR3724468	2749.049672
SRR3724469	1290.126761
SRR3724470	1107.414986
SRR3724482	2486.879552
SRR3724508	2118.424726
SRR3724533	1182.415783
SRR3724534	891.4602349
SRR3724641	1767.789605
SRR3724643	2427.813986
SRR3724644	1109.511853
SRR3724645	2179.75049
SRR3724646	750.4945848
SRR3724647	1637.672355
SRR3724648	1906.222194
SRR3725015	954.5854972
SRR3725054	1811.940458
SRR3725353	827.4270648
SRR3725354	2569.959078
SRR3725355	2039.737228
SRR3725726	1079.537786
SRR3725727	653.5151151
SRR3725728	1936.565857
SRR3725729	1041.193268
SRR3725730	1507.601787
SRR3725731	3502.890404
