MAG	Length
Bin_metabat_SRR3719656.54	3330272
Bin_metabat_SRR3725727.4	776137
Bin_metabat_SRR3719504.29	1017141
Bin_maxbin_SRR3719567.057	2141508
Bin_metabat_SRR3719625.67	1520735
Bin_metabat_SRR3724456.13	1479494
Bin_metabat_SRR3724533.16	976687
Bin_maxbin_SRR3719534.038	808104
Bin_maxbin_SRR3724533.011	1120818
Bin_metabat_SRR3724309.15	1010992
Bin_metabat_SRR3719505.72	13586007
Bin_metabat_SRR3719565.72	1194699
Bin_metabat_SRR3719566.24	1739348
Bin_metabat_SRR3724648.51	1181893
Bin_metabat_SRR3719657.1	794784
Bin_metabat_SRR3724482.71	924946
Bin_metabat_SRR3724468.37	1042619
Bin_metabat_SRR3724470.42	1404040
Bin_metabat_SRR3725726.32	974650
Bin_metabat_SRR3725355.12	4667490
Bin_metabat_SRR3725726.39	860576
Bin_metabat_SRR3719566.45	2088567
Bin_metabat_SRR3724644.27	1794337
Bin_metabat_SRR3719539.76	1174029
Bin_metabat_SRR3725731.39	3165560
Bin_metabat_SRR3719565.73	874471
Bin_metabat_SRR3719708.44	2662463
Bin_metabat_SRR3719646.53	4164896
Bin_metabat_SRR3724388.3	1713950
Bin_maxbin_SRR3719656.001	1766227
Bin_metabat_SRR3719655.54	2135403
Bin_metabat_SRR3719539.99	1393593
Bin_metabat_SRR3724534.13	734367
Bin_metabat_SRR3719656.26	1722335
Bin_maxbin_SRR3719562.011	2150405
Bin_maxbin_SRR3724534.003	996661
Bin_metabat_SRR3724308.80	1838834
Bin_metabat_SRR3724308.62	2186524
Bin_metabat_SRR3719545.51	1956119
Bin_metabat_SRR3724190.19	1340434
Bin_maxbin_SRR3719647.013	2009061
Bin_metabat_SRR3724315.34	1559809
Bin_metabat_SRR3719566.66	1260068
Bin_metabat_SRR3719539.61	2846948
Bin_maxbin_SRR3719564.015	3545331
Bin_metabat_SRR3724467.4	594431
Bin_metabat_SRR3724190.1	1377452
Bin_metabat_SRR3724315.39	1988498
Bin_metabat_SRR3724647.35	1658126
Bin_metabat_SRR3724646.9	805559
Bin_metabat_SRR3725728.26	3002073
Bin_maxbin_SRR3719646.026	1537681
Bin_metabat_SRR3724648.4	1652204
Bin_maxbin_SRR3719511.006	836080
Bin_metabat_SRR3719574.42	1076117
Bin_metabat_SRR3724357.50	1154025
Bin_metabat_SRR3724468.2	526834
Bin_metabat_SRR3719629.73	790605
Bin_metabat_SRR3719534.81	479523
Bin_metabat_SRR3719653.80	2530148
Bin_metabat_SRR3725355.18	900110
Bin_metabat_SRR3719534.97	1531951
Bin_metabat_SRR3719656.67	2767687
Bin_metabat_SRR3719691.81	4165339
Bin_metabat_SRR3724190.20	2089210
Bin_metabat_SRR3724468.54	1402742
Bin_metabat_SRR3719653.107	2081017
Bin_maxbin_SRR3719646.066	1091602
Bin_maxbin_SRR3724533.015	927853
Bin_metabat_SRR3719654.50	2940931
Bin_metabat_SRR3719534.70	1110275
Bin_metabat_SRR3719656.93	1938111
Bin_metabat_SRR3724533.36	446518
Bin_metabat_SRR3724310.15	2765719
Bin_metabat_SRR3719534.43	1739144
Bin_metabat_SRR3724533.64	747395
Bin_metabat_SRR3724533.43	952199
Bin_metabat_SRR3719629.68	4928760
Bin_metabat_SRR3724534.3	1274717
Bin_metabat_SRR3719696.35	1088947
Bin_metabat_SRR3719629.43	1891153
Bin_metabat_SRR3719505.56	819544
Bin_metabat_SRR3725353.15	1905141
Bin_metabat_SRR3724190.17	1501877
Bin_metabat_SRR3719646.58	3052974
Bin_maxbin_SRR3719654.001	1154126
Bin_metabat_SRR3719656.45	1659394
Bin_maxbin_SRR3724469.032	1630385
Bin_metabat_SRR3719505.81	3899602
Bin_metabat_SRR3719539.9	1521244
Bin_metabat_SRR3719653.122	3464056
Bin_metabat_SRR3719565.15	1264149
Bin_metabat_SRR3719565.23	1722493
Bin_maxbin_SRR3719653.010	1780292
Bin_metabat_SRR3724357.53	953683
Bin_metabat_SRR3724382.24	1298442
Bin_metabat_SRR3724644.15	1213528
Bin_metabat_SRR3724468.69	645054
Bin_metabat_SRR3724508.68	796489
Bin_maxbin_SRR3719539.009	2305704
Bin_metabat_SRR3719504.68	874826
Bin_metabat_SRR3724310.19	1712865
Bin_maxbin_SRR3719565.002	1461133
Bin_metabat_SRR3719691.25	1286799
Bin_maxbin_SRR3719574.008	2830850
Bin_maxbin_SRR3719539.008	1731665
Bin_metabat_SRR3724190.18	1333046
Bin_metabat_SRR3725731.73	1294370
Bin_metabat_SRR3719478.5	2547672
Bin_metabat_SRR3719656.49	954513
Bin_metabat_SRR3719478.33	4235945
Bin_maxbin_SRR3719566.002	2199183
Bin_metabat_SRR3719539.71	2762757
Bin_metabat_SRR3724382.35	564015
Bin_metabat_SRR3724533.69	908354
Bin_metabat_SRR3724190.55	1766474
Bin_metabat_SRR3719653.4	1484406
Bin_maxbin_SRR3719511.002	1769938
Bin_metabat_SRR3719656.66	2230163
Bin_metabat_SRR3719565.100	1713653
Bin_metabat_SRR3724308.41	1984541
Bin_metabat_SRR3724647.48	3040492
Bin_metabat_SRR3724470.13	1599771
Bin_maxbin_SRR3719539.084	2417730
Bin_metabat_SRR3724311.71	1339581
Bin_metabat_SRR3719653.55	2484751
Bin_metabat_SRR3719505.39	1589832
Bin_metabat_SRR3719644.29	1531333
Bin_metabat_SRR3724646.28	4732197
Bin_maxbin_SRR3719653.024	1657139
Bin_metabat_SRR3724648.29	1689277
Bin_metabat_SRR3719656.107	1892206
Bin_metabat_SRR3719653.134	1037181
Bin_metabat_SRR3724309.33	644852
Bin_metabat_SRR3724467.2	2698636
Bin_metabat_SRR3719539.78	2400157
Bin_maxbin_SRR3724641.011	2853491
Bin_metabat_SRR3724646.21	954754
Bin_metabat_SRR3724366.6	1175581
Bin_maxbin_SRR3719708.011	1384037
Bin_metabat_SRR3724533.29	1176557
Bin_metabat_SRR3719504.28	2746036
Bin_metabat_SRR3719654.34	1697405
Bin_metabat_SRR3724482.10	1374385
Bin_maxbin_SRR3719534.047	5673100
Bin_metabat_SRR3724645.9	910178
Bin_maxbin_SRR3724465.016	2041575
Bin_maxbin_SRR3719478.014	1682473
Bin_metabat_SRR3719539.64	2425719
Bin_metabat_SRR3719629.105	3306385
Bin_metabat_SRR3724482.58	1036499
Bin_metabat_SRR3719653.59	1544832
Bin_metabat_SRR3719505.12	2672896
Bin_metabat_SRR3724467.23	2562112
Bin_metabat_SRR3724508.2	2575321
Bin_metabat_SRR3719505.90	1297243
Bin_metabat_SRR3719534.92	1019782
Bin_maxbin_SRR3724308.060	2699128
Bin_metabat_SRR3719534.103	3493248
Bin_metabat_SRR3719656.90	2663315
Bin_maxbin_SRR3719655.067	3381116
Bin_metabat_SRR3719566.62	1438834
Bin_metabat_SRR3719625.76	3280579
Bin_metabat_SRR3719629.15	1294893
Bin_metabat_SRR3724533.62	955066
Bin_metabat_SRR3719566.48	2976404
Bin_metabat_SRR3724533.27	1155600
Bin_maxbin_SRR3719539.058	2335120
Bin_metabat_SRR3719693.44	624612
Bin_metabat_SRR3719625.12	3124921
Bin_metabat_SRR3719573.3	2016166
Bin_metabat_SRR3719644.70	535652
Bin_metabat_SRR3719510.87	1145668
Bin_metabat_SRR3719505.25	599478
Bin_metabat_SRR3724508.71	940431
Bin_metabat_SRR3724310.5	1068386
Bin_metabat_SRR3719504.55	868087
Bin_metabat_SRR3719505.54	5359919
Bin_metabat_SRR3725015.17	6630786
Bin_metabat_SRR3719691.46	2860100
Bin_metabat_SRR3719539.73	3379739
Bin_metabat_SRR3719653.67	1865824
Bin_metabat_SRR3724466.69	1616711
Bin_metabat_SRR3725731.10	773722
Bin_metabat_SRR3724533.51	3554551
Bin_metabat_SRR3719655.66	4336379
Bin_metabat_SRR3719574.46	1491820
Bin_metabat_SRR3724508.14	1415909
Bin_metabat_SRR3719653.89	1596142
Bin_metabat_SRR3724382.5	1111928
Bin_maxbin_SRR3724365.036	2075339
Bin_metabat_SRR3724190.37	1195504
Bin_maxbin_SRR3719565.036	2515677
Bin_metabat_SRR3725726.48	423245
Bin_metabat_SRR3724307.38	2569911
Bin_metabat_SRR3724365.52	1178915
Bin_metabat_SRR3719566.56	1200536
Bin_metabat_SRR3724534.22	1687641
Bin_metabat_SRR3724311.73	1718384
Bin_metabat_SRR3719644.98	1475229
Bin_metabat_SRR3724648.66	2565211
Bin_metabat_SRR3724646.4	2602873
Bin_maxbin_SRR3724190.009	2519220
Bin_metabat_SRR3719505.22	4225614
Bin_maxbin_SRR3719573.006	1656909
Bin_maxbin_SRR3724311.002	1662865
Bin_metabat_SRR3724646.46	1032348
Bin_metabat_SRR3724468.53	1070592
Bin_metabat_SRR3724533.23	1470397
Bin_metabat_SRR3719534.74	754436
Bin_metabat_SRR3724482.60	2343555
Bin_maxbin_SRR3725355.001	1211291
Bin_metabat_SRR3719629.40	2092981
Bin_metabat_SRR3724456.20	3207435
Bin_metabat_SRR3719534.58	4012018
Bin_maxbin_SRR3719539.007	1800097
Bin_metabat_SRR3719654.83	2640901
Bin_metabat_SRR3719695.22	1215155
Bin_metabat_SRR3724307.33	2067946
